Constituency,ONS Code,Total population,Population weighting,Region,Country,Change,Party,Majority,Turnout,Con,Lab,LD,Grn,Brx,SNP,PC,DUP,SF,APNI,SDLP,UUP,Aontú,PBP,Con (NI),Grn (NI),Other[a],Total,Votes for winner,% majority,Probability,Voter Power Index
Boston and Skegness,E14001114,116189,0.88687106,EM,England,9.2,Con,27402,59.4,34406,7004,2180,0,0,0,0,,,,,,,,,,1428,45018,34406,61%,0.000547322,0.000970808
Liverpool Wavertree,E14001340,102743,1.002936079,NW,England,81.1,Lab,31926,72.4,4926,36852,4123,3167,1897,0,0,,,,,,,,,,501,51466,36852,62%,0.000480413,0.000963647
Bradford West,E14001120,121355,0.84911756,YH,England,none,Lab,27019,62.1,6717,33736,1349,813,1556,0,0,,,,,,,,,,90,44261,33736,61%,0.000536655,0.000911367
South Holland and the Deepings,E14001487,109481,0.941210452,EM,England,none,Con,30838,64.6,37338,6500,3225,1613,0,0,0,,,,,,,,,,503,49179,37338,63%,0.000445561,0.000838733
Hackney South and Shoreditch,E14001260,112557,0.915488699,GL,England,27.8,Lab,30141,63.6,4968,35109,3900,3081,648,0,0,,,,,,,,,,111,47817,35109,63%,0.000429468,0.000786347
Bethnal Green and Stepney,E14001086,126756,0.812937151,GL,England,35.8,Lab,31655,64.9,5065,36720,4634,2101,992,0,0,,,,,,,,,,439,49951,36720,63%,0.000413512,0.000672319
East Ham,E14001213,131034,0.786396367,GL,England,19.7,Lab,29863,66.6,6885,36748,1685,755,924,0,0,,,,,,,,,,250,47247,36748,63%,0.000421271,0.000662572
Walthamstow,E14001563,122415,0.841764992,GL,England,none,Lab,30862,68.2,5922,36784,2874,1733,768,0,0,,,,,,,,,,254,48335,36784,64%,0.000391952,0.000659863
Liverpool West Derby,E14001341,97296,1.059084254,NW,England,75.2,Lab,32321,66,4015,36336,1270,908,2293,0,0,,,,,,,,,,1826,46648,36336,69%,0.000213198,0.000451588
Tottenham,E14001553,136277,0.756141253,GL,England,35.7,Lab,30488,60.2,5076,35564,2306,1965,588,0,0,,,,,,,,,,221,45720,35564,67%,0.000285356,0.000431539
Knowsley,E14001317,93601,1.100892742,NW,England,21.8,Lab,32901,65.2,4060,36961,1165,915,2913,0,0,,,,,,,,,,405,46419,36961,71%,0.000178394,0.000392785
Bootle,E14001113,101382,1.016399968,NW,England,none,Lab,34556,65.4,4510,39066,1822,1166,2610,0,0,,,,,,,,,,0,49174,39066,70%,0.000190909,0.00038808
Manchester Rusholme,E14001353,110664,0.931148897,NW,England,98.2,Lab,27901,56.8,3653,31554,1612,1709,1621,0,0,,,,,,,,,,0,40149,31554,69%,0.00020832,0.000387954
Liverpool Walton,E14001339,101853,1.011699818,NW,England,76,Lab,33729,65.4,4607,38336,1059,849,1040,0,0,,,,,,,,,,660,46551,38336,72%,0.000149499,0.000302496
Birmingham Ladywood,E14001096,151865,0.678528045,WM,England,64.6,Lab,32583,58.2,4381,36964,1233,823,980,0,0,,,,,,,,,,154,44535,36964,73%,0.000138123,0.00018744
Liverpool Riverside,E14001338,117738,0.875203091,NW,England,61.6,Lab,32800,60.5,3297,36097,936,997,1089,0,0,,,,,,,,,,0,42416,36097,77%,8.66157E-05,0.000151613
,,103044.6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
